,product,brand,seller,financing_amount,sale_price
1,Smart Tv Noblex Dk43x5100 Led Full Hd 43,Noblex,Torca,6878.74,74490.0
2,Led Tcl 50  L50p725 Smart 4K Google Tv Rv Hdmi/usb/sint Dig/,TCL,Torca,10600.22,114790.0
3,Smart Tv 4K 65 Pulgadas Rca And65p7uhd Bluetooth Hdr Android,RCA,Agen,18468.8,199999.0
4,Smart Tv 65 Pulgadas 4K Ultra Hd 65Au7000 - Samsung,Samsung,Megatone,24748.22,267999.0
5,"Smart Tv 50"" Uhd4k Samsung 50Au7000",Samsung,Hendel,12050.86,130499.0
6,Smart Tv Samsung Un43t5300agczb Led Full Hd 43 Televisor Hdr - Un43t5300agczb,Samsung,Ceven,9234.35,99999.0
7,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
8,Televisor Smart 40 Tcl Android Tv-rv L40s66e,TCL,*Outletech*,8587.94,92999.0
9,"Lg Uhd Ai Thinq 75'' Up77 4K Smart Tv, Α5 Ai Processor, Magic Remote",LG,Newsan,37861.13,409999.0
10,"Smart Tv Eq Samsung 75"" Uhd Serie Au8000 Zf.",Samsung,Diggit,36937.69,399999.0
11,"Smart Tv 50"" 4K Lg 50Up7750 Negro",LG,Hendel,15975.5,172999.0
12,"Smart Tv Philips 4K 50"" 50Pud7406/77",Philips,Hendel,14267.12,154499.0
13,Smart Tv Philco 32 Led Hd Pld32hs22 Wifi Netflix,Philco,Ceven,4570.13,49490.0
14,Smart Tv Noblex Dk50x6500 Led 4K 50'',Noblex,Belkiare,13511.1,146312.0
15,Smart Tv Hd 32 Pulgadas Philips 32Phd6927 Android Hdr Bt Voz,Philips,Ebox,6159.28,66699.0
16,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
17,Smart Tv Philips 55″ 4K Uhd  55Pud7906,Philips,Diggit,15673.53,169729.0
18,Televisor Smart 32 Tcl Android Tv L32s65a,TCL,*Outletech*,6030.0,65299.0
19,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
20,"Smart Tv 43"" Uhd 4K Samsung 43Au7000",Samsung,Hendel,9945.4,107699.0
21,"Smart Tv 43"" Lg Full Hd 43Lm6350psb",LG,OscarBarbieri,9474.45,102599.0
22,Smart Tv Philips 50 Pulgadas 4K Uhd 50Pud7406/77,Philips,Radio Sapienza,11367.88,123103.0
23,"Smart Tv Lg 43"" Fhd 43Lm6350psb",LG,Dacar Hogar,9733.01,105399.0
24,Roku Stick 4K 3820Mx Netflix Convertidor A Smart Tv Streaming,Roku,Powercase,2308.52,24999.0
25,Smart Tv Philips 6800 Series 43Pfd6825/77 Led Full Hd 43  ,Philips,Torca,7109.6,76990.0
26,Smart Tv Lg 50  Led Real 4K Uhd Hdr 10 Pro Thinq 50Up7750,LG,Ceven,16621.91,179999.0
27,"Smart Tv Xiaomi Mi Tv P1 43"" Lm",Xiaomi,Etercor,13851.67,150000.0
28,Lg Uhd Ai Thinq 4K 50'',LG,Newsan,13943.92,150999.0
29,Smart Tv Rca And40y Led Full Hd 40  100V/240v,RCA,Torca,6463.19,69990.0
30,Smart Tv Philips 32Phd6917 Hd 32 Pulgadas Android Bt Hdr Voz,Philips,Ebox,6211.92,67269.0
31,Smart Tv 50 Pulgadas 4K Ultra Hd Cdh-le504ksmart21 F - Hitachi,Hitachi,Megatone,11081.24,119999.0
32,"Smart Tv 43"" Fhd Frameless Quint",Quint,Diggit,7313.59,79199.0
33,Barra Sonido Jbl Sb120 Dolby Digital Bluetooth 110W Original,JBL,Punto Digital,4617.13,49999.0
34,"Smart Tv Lg 32"" 32Lm620 Hd Lg Led",LG,Hendel,6150.05,66599.0
35,Smart Tv Philips Led 55  4K Serie 7000 55Pud7406/77 Android,Philips,Ceven,18468.8,199999.0
36,Smart Tv Samsung Qled 55  4K Serie 6 Qn55q60aagczb,Samsung,Ceven,23640.09,255999.0
37,Televisor Noblex 43  Smart Tv Dr43x7100 Android Full Hd ,Noblex,Ceven,9419.04,101999.0
38,Smart Tv Quint Qt1-42frame 42 Pulgadas Fhd Fullhd Netflix,Quint,Ceven,7849.19,84999.0
39,Smart Tv Philips 32” Led Hd 32Phd6825/77,Philips,Radio Sapienza,4817.61,52170.0
40,Televisor Tv Led 24 Pulgadas Philips 24Phd5565/77 Hdmi Rca,Philips,Ebox,3786.03,40999.0
41,Led Noblex 50  Dm50x7550 Smart 4K Sint Digital/hdmi/usb/blue,Noblex,Torca,9879.93,106990.0
42,Lg Oled A1 Ai Thinq 4K 55'',LG,Newsan,32505.15,351999.0
43,Smart Tv Samsung 75 Pulgadas Neo Qled 4K Qn75qn85bagczb,Samsung,Ceven,66118.53,715999.0
44,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
45,Smart Tv Hitachi 50” 4K Android / Cdh-le504ksmart24 Googletv,Hitachi,Radio Sapienza,11349.13,122900.0
46,Smart Tv Noblex Dj50x6500 Led 4K 50  220V,Noblex,Torca,9879.93,106990.0
47,Led Tcl 40  L40s66e-f Smart Android Tv Full Hd 1920X1080 Hdm,TCL,Torca,6647.88,71990.0
48,Lg Smart Tv Ai Fhd 43'',LG,Newsan,10619.52,114999.0
49,Smart Tv Philco 32 Led Hd Pld32hs22 Wifi Netflix,Philco,Ceven,4570.13,49490.0
50,Lg Nanocell Ai Thinq 4K 65'',LG,Newsan,28626.69,309999.0
51,Smart Tv 4K Uhd 55 Pulgadas Philips 55Pud7406/77 Hdr Android,Philips,Ebox,17360.66,187999.0
52,Smart Tv Samsung Series 5 Un43t5300agczb Led Full Hd 43  ,Samsung,Torca,9234.35,99999.0
53,Smart Tv Philips 32Phd6917 Hd 32 Pulgadas Android Bt Hdr Voz,Philips,Ebox,6211.92,67269.0
54,Smart Tv Noblex Dq65x9500pi 65  Qled 4K Uhd Android Tv,Noblex,Newsan,22162.57,239999.0
55,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
56,Smart Tv Fullhd 42 Pulgadas Quint Qt1 Qt1-42frame Dolby Wifi,Quint,Dinatech,5817.61,62999.0
57,Tv 50 Smart Samsung Un50au7000gczb Uhd 4K Serie Au7000 Hdmi - Un50au7000gczb,Samsung,Ceven,15698.46,169999.0
58,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0
59,"Smart Led 4K 55"" Samsung Q60a Eq Qn55q60aagczb",Samsung,Hendel,19475.35,210899.0
60,Smart Tv Philips 32 Pulgadas Android Tv Led Hd 32Phd6917/77,Philips,Ceven,7018.09,75999.0
61,Smart Tv 4K Mini Qled 55 Tcl L55c825 120Hz Google Tv Webcam,TCL,Agen,36937.69,399999.0
62,Televisor Smart 50 Rca And50fxuhdf Android Uhd 4K,RCA,Outletech,13639.18,147699.0
63,Smart Tv Philco 32 Led Hd Pld32hs22 Wifi Netflix,Philco,Ceven,4570.13,49490.0
64,"Smart Tv Hisense H5018uh6 Led 4K 50"" 100V/240v",Hisense,Belkiare,13511.1,146312.0
65,Smart Tv Led Philips 75 4K Uhd 75Pud8507/77 Ambilight Wifi,Philips,Ebox,31674.05,342999.0
66,Smart Tv 50 Pulgadas 4K Ultra Hd 50U6295/77g - Aoc,AOC,Radio Sapienza,9972.28,107990.0
67,Smart Tv Hd 32 Pulgadas Tcl L32s65a Hdr Bluetooth Android Tv,TCL,Agen,5263.54,56999.0
68,Smart Tv Rca 50 Pulgadas And50fxuhd 4K Android Tv Hdr Hdmi,RCA,Ceven,10896.55,117999.0
69,Smart Tv Noblex Dq75x9500pi 75 Qled 4K Uhd Android Tv,Noblex,Newsan,32320.46,349999.0
70,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
71,"Tv Led Tcl 55"" 4K L50p725 Android Hdr",TCL,Pronto Tec,13851.57,149999.0
72,Televisor Smart 40 Tcl Android Tv-rv L40s66e,TCL,*Outletech*,8587.94,92999.0
73,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
74,Barra Sonido Jbl Sb120 Dolby Digital Bluetooth 110W Original,JBL,Punto Digital,4617.13,49999.0
75,Televisor Tcl Led 50  Uhd Google Tv-rv,TCL,Baires IT,9040.43,97899.0
76,"Smart Tv Samsung 55"" Eq Led Au7000 Uhd",Samsung,Hendel,19207.55,207999.0
77,Televisor Samsung Smart Tv 55  Qled 4K Qn55q80aagczb,Samsung,Baires IT,34906.11,377999.0
78,Televisor Noblex 43  Smart Tv Dr43x7100 Android Full Hd ,Noblex,Ceven,9419.04,101999.0
79,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
80,Lg Smart Tv Ai Fhd 43'',LG,Newsan,10619.52,114999.0
81,"Smart Tv Philips 4K 50"" 50Pud7406/77",Philips,Hendel,14267.12,154499.0
82,Tv 43  Smart Samsung Un43au7000gczb Uhd 4K Hdr Hdmi Netflix,Samsung,Ceven,10619.52,114999.0
83,Smart Tv Lg 50  Led Real 4K Uhd Hdr 10 Pro Thinq 50Up7750,LG,Ceven,16621.91,179999.0
84,Smart Tv Noblex Dk32x5050pi Led Hd 32'',Noblex,Newsan,4617.13,49999.0
85,"Smart Tv Aoc 32"" Hd S5295/77g",AOC,Hendel,4312.39,46699.0
86,"Smart Tv 50"" 4K Noblex Android Tv Dm50x7550 Ultra Hd",Noblex,OscarBarbieri,10514.34,113860.0
87,Smart Tv Noblex Dj50x6500 Led 4K 50  220V,Noblex,Torca,9879.93,106990.0
88,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
89,Led Tcl 40  L40s66e-f Smart Android Tv Full Hd 1920X1080 Hdm,TCL,Torca,6647.88,71990.0
90,Barra Sonido Jbl Sb120 Dolby Digital Bluetooth 110W Original,JBL,Punto Digital,4617.13,49999.0
91,"Smart Tv Led 4K Hyundai 58"" Hyled-uhdsa",Hyundai,Hendel,14405.64,155999.0
92,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
93,"Tv Smart 32"" Hisense Hd 32A42h",Hisense,Dorazi,5900.72,63899.0
94,Smart Tv Rca And40y Led Full Hd 40  100V/240v,RCA,Torca,6463.19,69990.0
95,Led Rca 40  S40and-f Smart Full Hd Hdmi/usb/sint Digit/andro,RCA,Torca,6463.19,69990.0
96,"Smart Tv 60"" 4K Lg 60Up7750 Negro",LG,Hendel,18884.35,204499.0
97,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
98,"Televisor Smarttv Hyundai 32"" Hd",Hyundai,Etercor,5633.01,61000.0
99,Smart Tv Samsung 75   Cristal Uhd 4K Serie 8 Un75au8000gczb,Samsung,Ceven,36937.69,399999.0
100,"Tv Smart 43"" Hisense 43A42h Full Hd",Hisense,Dorazi,8551.0,92599.0
101,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
102,"Smart Tv Lg 32"" 32Lm620 Hd Lg Led",LG,Hendel,6150.05,66599.0
103,Smart Tv Rca 50 Pulgadas And50fxuhd 4K Android Tv Hdr Hdmi,RCA,Ceven,10896.55,117999.0
104,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
105,Televisor Kanji Kj-24tm005 Led Full Hd 24 Pulgadas 220V,Kanji,Dacar Hogar,3453.59,37399.0
106,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv - Noblex",Noblex,Radio Sapienza,8772.63,94999.0
107,Smart Tv Samsung Qled 55  4K Serie 6 Qn55q60aagczb,Samsung,Ceven,23640.09,255999.0
108,"Led Smart Tv Philips 43"" (43Pfd6825/77)",Philips,24 Store,8058.16,87262.0
109,Smart Tv Philips 43Pfd6917/77 Led Full Hd 43  110V/240v,Philips,Baires IT,15962.57,172859.0
110,"Smart Tv 43"" Lg Full Hd 43Lm6350psb",LG,OscarBarbieri,9474.45,102599.0
111,Smart Tv 4K Mini Qled 55 Tcl L55c825 120Hz Google Tv Webcam,TCL,Agen,36937.69,399999.0
112,"Smart Tv 32"" Kodak 32Mt005 Hd",Kodak,OscarBarbieri,4795.35,51929.0
113,Smart Tv Lg 43  Led Real 4K Uhd Hdr 10 Pro Thinq 43Up7750,LG,Ceven,12928.04,139998.0
114,Smart Tv Lg 43'' Uhd 4K 43Up7750,LG,Diggit,12798.85,138599.0
115,"Smart Tv 50"" 4K Lg 50Up7750 Negro",LG,Hendel,15975.5,172999.0
116,Smart Tv Fullhd 42 Pulgadas Quint Qt1 Qt1-42frame Dolby Wifi,Quint,Dinatech,5817.61,62999.0
117,Led Tcl 50  L50p725 Smart 4K Google Tv Rv Hdmi/usb/sint Dig/,TCL,Torca,10600.22,114790.0
118,Televisor Tcl Led 50  Uhd Google Tv-rv,TCL,Baires IT,9040.43,97899.0
119,Smart Tv Sansei Tds2232hipi Led Hd 32 ,Sansei,Newsan,3693.69,39999.0
120,Smart Tv 43 Pulgadas 4K Ultra Hd 43Au7000 - Samsung,Samsung,Megatone,11413.68,123599.0
121,Televisor Samsung Smart Tv 55  Qled 4K Qn55q80aagczb,Samsung,Baires IT,34906.11,377999.0
122,"Smart Tv 32"" Hd Samsung Un32t4300agczb Negro",Samsung,Hendel,5725.26,61999.0
123,Smart Tv 4K 50 Pulgadas Hitachi Le504ksmart21 Hdr Bt Android,Hitachi,Agen,10711.86,115999.0
124,Smart Tv 55 Pulgadas 4K Ultra Hd L55p725 - Tcl,TCL,Megatone,13149.76,142399.0
125,"Lg Uhd Ai Thinq 75'' Up77 4K Smart Tv, Α5 Ai Processor, Magic Remote",LG,Newsan,37861.13,409999.0
126,"Smart Tv 43"" Uhd 4K Samsung 43Au7000",Samsung,Hendel,9945.4,107699.0
127,Smart Tv Philips 32” Led Hd 32Phd6825/77,Philips,Radio Sapienza,4817.61,52170.0
128,"Smart Tv Hyundai 43"" Fhd Hyled-43fhd7a",Hyundai,Etercor,10734.95,116249.0
129,Led Rca 40  S40and-f Smart Full Hd Hdmi/usb/sint Digit/andro,RCA,Torca,6463.19,69990.0
130,Televisor Noblex Smart Tv Dk32x5050pi Led Hd 32 Pulgadas,Noblex,Ceven,5540.57,59999.0
131,"Smart Tv Hisense H5018uh6 Led 4K 50"" 100V/240v",Hisense,Belkiare,13511.1,146312.0
132,Smart Tv 4K 65 Pulgadas Rca And65p7uhd Bluetooth Hdr Android,RCA,Agen,18468.8,199999.0
133,"Smart Tv Hitachi 50"" Uhd 4K Le504ksmart21",Hitachi,Diggit,11478.32,124299.0
134,"Smart Tv Sansei 91Tds2250ui‬pi Led 50"" 4K Uhd Tv",Sansei,Newsan,7849.19,84999.0
135,Tv Led 32 Philips 32Phd682577,Philips,Grupo Nucleo,4801.82,51999.0
136,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0
137,"Smart Tv Sansei 91Tds2255uipi Led 4K Uhd 55""",Sansei,Newsan,8772.63,94999.0
138,Lg Nanocell Ai Thinq 4K 65'',LG,Newsan,28626.69,309999.0
139,Smart Tv Philips 32Phd6917 Hd 32 Pulgadas Android Bt Hdr Voz,Philips,Ebox,6211.92,67269.0
140,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
141,Televisor Noblex 43  Smart Tv Dr43x7100 Android Full Hd ,Noblex,Ceven,9419.04,101999.0
142,"Smart Tv Xiaomi Mi Tv P1 43"" Lm",Xiaomi,Etercor,13851.67,150000.0
143,"Smart Tv 43"" Noblex 91Dk43x7100pi Android Tv ",Noblex,Newsan,9234.35,99999.0
144,Smart Tv Samsung 75 Pulgadas Neo Qled 4K Qn75qn85bagczb,Samsung,Ceven,66118.53,715999.0
145,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0
146,Smart Tv Samsung Series 4 Un32t4300agczb Led Hd 32 Hdr,Samsung,Ceven,6925.74,74999.0
